"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $1573.96/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x935f8d4ab116e12c6f1b411f09a91d2627faafba005fb548839015a77851683e","12985451","1628438676","2021-08-08 16:04:36","0xfd16f84e1f9bb5ec33b52d0133d61f7d20699658","","0x830bd73e4184cef73443c15111a1df14e495c706","0","0","0","0.05157108","81.1708170768","3013.75","","","0x60806040",""
"0x9b19110db0d65a40c06cd4127e509909648e983dc48a7f38722558b1e68bb43b","12985713","1628442166","2021-08-08 17:02:46","0xfd16f84e1f9bb5ec33b52d0133d61f7d20699658","0x830bd73e4184cef73443c15111a1df14e495c706","","0","0","0","0.001969495","3.0999063502","3013.75","","","Transfer Ownership",""
"0xb35706f1a95576fc88b48e60516038883a880f0084c0781bc0bc2e9b6454c9ea","12985751","1628442784","2021-08-08 17:13:04","0xf476cd75be8fdd197ae0b466a2ec2ae44da41897","0x830bd73e4184cef73443c15111a1df14e495c706","","4.15","0","6531.934","0.0054414","8.564545944","3013.75","","","Create Bid",""
"0x5b841ca51cccc76f3e62613a25d13f885e79104280e3277368bf95eefcf887e6","12985762","1628443017","2021-08-08 17:16:57","0xf476cd75be8fdd197ae0b466a2ec2ae44da41897","0x830bd73e4184cef73443c15111a1df14e495c706","","4.24","0","6673.5904","0.004382784","6.89832670464","3013.75","","","Create Bid",""
"0x46d0f60954232c18a1acc846b9ae849d677c84bc1dca8ea59f8750a97dcb0ea3","12985774","1628443147","2021-08-08 17:19:07","0xb1c41c71d36cedea7ddcd5f8d5c5c32ba8f3cbfc","0x830bd73e4184cef73443c15111a1df14e495c706","","0.01","0","15.7396","0.002776731262379645","4.37046393773507","3013.75","Error(0)","Reverted","Create Bid",""
"0xb1e19c09ff6cb1358da26526b0472374faeced7f823cce420be15dc72391cd80","12985774","1628443147","2021-08-08 17:19:07","0x67bace9bbdf3212509a7438ae026c7c9fbef6931","0x830bd73e4184cef73443c15111a1df14e495c706","","0.01","0","15.7396","0.002776731262379645","4.37046393773507","3013.75","Error(0)","Reverted","Create Bid",""
"0x0b7d9bfbc76893fda3201c0e2117e4b57387b18dc84c54f7783d8130730ff2dc","12985798","1628443478","2021-08-08 17:24:38","0x87757c7fd54d892176e9ecec6767bc16e04a06a8","0x830bd73e4184cef73443c15111a1df14e495c706","","4.44","0","6988.3824","0.003746709320340736","5.8971706018435","3013.75","","","Create Bid",""
"0x15b75c6084c63fb4b9dec51f1bfa1f8b6869aa389495d6ca48f902f16c51f5a2","12985899","1628444940","2021-08-08 17:49:00","0x8be3fd8a423c38131aae0330b20ceec425e0e50e","0x830bd73e4184cef73443c15111a1df14e495c706","","4.69","0","7381.8724","0.00397032","6.2491248672","3013.75","","","Create Bid",""
"0x567fca035f2c9fdfb1ecd64201406b1b0681e4aa0ba5b345a37467e5afd50963","12985902","1628444972","2021-08-08 17:49:32","0x1e66a3d0a6a327b1f29e8acf3a3d9e1e4e088683","0x830bd73e4184cef73443c15111a1df14e495c706","","10","0","15739.6","0.003320939876117964","5.22702652741463","3013.75","","","Create Bid",""
"0x3b21114787ad3b42355142e4880b6b767915570b5bcf653607056c3b5ebc07cb","12985933","1628445392","2021-08-08 17:56:32","0xa2b950dc320f67bffe5824af17c665b1fd3423ec","0x830bd73e4184cef73443c15111a1df14e495c706","","10.2","0","16054.392","0.003342421220946032","5.26083730492022","3013.75","","","Create Bid",""
"0x5899567007e654210aee97d5de65319b6ee8d4c03cda4b80d69d303fa67f1139","12985941","1628445495","2021-08-08 17:58:15","0x113d754ff2e6ca9fd6ab51932493e4f9dabdf596","0x830bd73e4184cef73443c15111a1df14e495c706","","11.3","0","17785.748","0.003507116","5.52006029936","3013.75","","","Create Bid",""
"0xf166a67f9c40825a823eb3792645dbde192f7a827d5ae4dfc6a0d13e64412a6d","12986109","1628447668","2021-08-08 18:34:28","0xf6c762d6edc268e644e6629cc1e5381885ede851","0x830bd73e4184cef73443c15111a1df14e495c706","","12.12","0","19076.3952","0.004168836","6.56158111056","3013.75","","","Create Bid",""
"0xf9dc1741832fcac77a0bc9b306f16f62efa975f70e034268b7c26f036f51f189","12986167","1628448374","2021-08-08 18:46:14","0xc887fadc6baaa8cd234d9104a65b37265522b024","0x830bd73e4184cef73443c15111a1df14e495c706","","12.37","0","19469.8852","0.003034812849474992","4.77667403255966","3013.75","","","Create Bid",""
